Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,-6.5,22.220044576524643,-4.307385947678468,30100086.116321698,2519341.8750856025,2519341.8750856025,2519341.8750856025,27390500.340166062,0.0 
 01/21  02:00:00,-6.5,22.22005282884824,-4.30775146261441,30192447.259528846,2300485.626558334,2300485.626558334,2300485.626558334,27701717.73190047,0.0 
 01/21  03:00:00,-6.5,22.220056888805576,-4.308154090058403,30269187.8897369,2226600.0926204654,2226600.0926204654,2226600.0926204654,27852343.8960464,0.0 
 01/21  04:00:00,-6.5,22.220058558681956,-4.308522662631476,30300766.55134533,2171740.4070940726,2171740.4070940726,2171740.4070940726,27938782.243181217,0.0 
 01/21  05:00:00,-6.5,22.22006094355713,-4.30880456199818,31316603.10080392,2335718.210080423,2335718.210080423,2335718.210080423,27889240.864249893,897115.8551470496 
 01/21  06:00:00,-6.5,22.220063481920118,-4.30903155921992,31461481.98717679,2902111.397117286,2902111.397117286,2902111.397117286,27572761.300951798,785119.1786143141 
 01/21  07:00:00,-6.5,22.220059115245494,-4.309101287468304,32551141.44360304,3490045.529346395,3490045.529346395,3490045.529346395,27245872.381827734,1800228.5865311148 
 01/21  08:00:00,-6.5,22.220051688522094,-4.309025285183347,32901779.03531629,3872409.4070758065,3872409.4070758065,3872409.4070758065,27171818.40799422,1844162.8756946493 
 01/21  09:00:00,-6.5,22.220040420312333,-4.309029011383952,35074615.988865,3436548.288166884,3436548.288166884,3436548.288166884,27916252.093687214,3715924.7354082037 
 01/21  10:00:00,-6.5,22.220051120395798,-4.309238322544878,33461551.284719568,3287629.4627914913,3287629.4627914913,3287629.4627914913,28324326.605866596,1845578.7126959981 
 01/21  11:00:00,-6.5,22.220058176851683,-4.309460891282732,33575069.38594553,3359522.254572048,3359522.254572048,3359522.254572048,28392765.982639097,1818764.6453688992 
 01/21  12:00:00,-6.5,22.22005858693527,-4.309628278083764,33619589.49164282,3405817.7973429887,3405817.7973429887,3405817.7973429887,28419123.54868749,1790631.6422468568 
 01/21  13:00:00,-6.5,22.220058586158686,-4.309743759303532,33557157.663626045,3343416.5845005065,3343416.5845005065,3343416.5845005065,28440598.95195837,1769125.6238016847 
 01/21  14:00:00,-6.5,22.220059246602748,-4.309836226231155,33480983.300998494,3277253.218523652,3277253.218523652,3277253.218523652,28444483.216717333,1755230.3623920304 
 01/21  15:00:00,-6.5,22.220059682322354,-4.30992173268041,32014605.825602613,3272159.2094632606,3272159.2094632606,3272159.2094632606,28426536.53877621,311893.5739976637 
 01/21  16:00:00,-6.5,22.220060833047867,-4.309969030845826,33265441.859461848,3549357.552769049,3549357.552769049,3549357.552769049,28283038.103195995,1426084.2643299685 
 01/21  17:00:00,-6.5,22.220062725047573,-4.309889806473691,33984212.2085874,4479188.816479392,4479188.816479392,4479188.816479392,27737751.801042356,1752276.6451678472 
 01/21  18:00:00,-6.5,22.220058608435625,-4.309514795719697,34212949.2197391,5624286.233621349,5624286.233621349,5624286.233621349,26791219.44745773,1776557.7211595166 
 01/21  19:00:00,-6.5,22.22005070113472,-4.3088249069785745,33911581.287285,6045788.3062472865,6045788.3062472865,6045788.3062472865,25845448.922937114,1804126.7686004385 
 01/21  20:00:00,-6.5,22.220038609365982,-4.308166464027657,33555382.47293849,5971945.160957614,5971945.160957614,5971945.160957614,25553698.99420874,1810478.2226920738 
 01/21  21:00:00,-6.5,22.22003649130366,-4.30773781696781,33359461.22354567,5899533.255808762,5899533.255808762,5899533.255808762,25445027.199177142,1795640.6734796972 
